metal_type,price,unit,currency,location,scraped_date,reported_date
Cold-rolled Coil,507.0,metric_ton,USD,World,2026-06-21 11:47:45.643688,2026-01-29
Hot-rolled Band,455.0,metric_ton,USD,World,2026-06-21 11:47:45.643779,2026-01-29
